"GEO_ID","NAME","NAICS2017","NAICS2017_LABEL","LFO","LFO_LABEL","EMPSZES","EMPSZES_LABEL","YEAR","ESTAB","PAYANN","PAYANN_N","PAYQTR1","PAYQTR1_N","EMP","EMP_N",
"Geographic identifier code","Geographic Area Name","2017 NAICS code","Meaning of NAICS code","Legal form of organization code","Meaning of Legal form of organization code","Employment size of establishments code","Meaning of Employment size of establishments code","Year","Number of establishments","Annual payroll ($1,000)","Noise range for annual payroll","First-quarter payroll ($1,000)","Noise range for first-quarter payroll","Number of employees","Noise range for number of employees",
"0500000US48015","Austin County, Texas","722","Food services and drinking places","001","All establishments","001","All establishments","2023","57","13765","G","3277","G","697","G",
"0500000US48015","Austin County, Texas","722","Food services and drinking places","001","All establishments","210","Establishments with less than 5 employees","2023","21","N","N","N","N","N","N",
"0500000US48015","Austin County, Texas","722","Food services and drinking places","001","All establishments","220","Establishments with 5 to 9 employees","2023","7","N","N","N","N","N","N",
"0500000US48015","Austin County, Texas","722","Food services and drinking places","001","All establishments","230","Establishments with 10 to 19 employees","2023","19","N","N","N","N","N","N",
"0500000US48015","Austin County, Texas","722","Food services and drinking places","001","All establishments","241","Establishments with 20 to 49 employees","2023","8","N","N","N","N","N","N",
"0500000US48039","Brazoria County, Texas","722","Food services and drinking places","001","All establishments","001","All establishments","2023","689","283895","G","68290","G","14470","G",
"0500000US48039","Brazoria County, Texas","722","Food services and drinking places","001","All establishments","210","Establishments with less than 5 employees","2023","182","N","N","N","N","N","N",
"0500000US48039","Brazoria County, Texas","722","Food services and drinking places","001","All establishments","220","Establishments with 5 to 9 employees","2023","112","N","N","N","N","N","N",
"0500000US48039","Brazoria County, Texas","722","Food services and drinking places","001","All establishments","230","Establishments with 10 to 19 employees","2023","151","N","N","N","N","N","N",
"0500000US48039","Brazoria County, Texas","722","Food services and drinking places","001","All establishments","241","Establishments with 20 to 49 employees","2023","174","N","N","N","N","N","N",
"0500000US48039","Brazoria County, Texas","722","Food services and drinking places","001","All establishments","242","Establishments with 50 to 99 employees","2023","55","N","N","N","N","N","N",
"0500000US48039","Brazoria County, Texas","722","Food services and drinking places","001","All establishments","251","Establishments with 100 to 249 employees","2023","14","N","N","N","N","N","N",
"0500000US48071","Chambers County, Texas","722","Food services and drinking places","001","All establishments","001","All establishments","2023","80","34916","G","8432","G","1747","G",
"0500000US48071","Chambers County, Texas","722","Food services and drinking places","001","All establishments","210","Establishments with less than 5 employees","2023","22","N","N","N","N","N","N",
"0500000US48071","Chambers County, Texas","722","Food services and drinking places","001","All establishments","220","Establishments with 5 to 9 employees","2023","14","N","N","N","N","N","N",
"0500000US48071","Chambers County, Texas","722","Food services and drinking places","001","All establishments","230","Establishments with 10 to 19 employees","2023","21","N","N","N","N","N","N",
"0500000US48071","Chambers County, Texas","722","Food services and drinking places","001","All establishments","241","Establishments with 20 to 49 employees","2023","14","N","N","N","N","N","N",
"0500000US48071","Chambers County, Texas","722","Food services and drinking places","001","All establishments","242","Establishments with 50 to 99 employees","2023","6","N","N","N","N","N","N",
"0500000US48071","Chambers County, Texas","722","Food services and drinking places","001","All establishments","251","Establishments with 100 to 249 employees","2023","3","N","N","N","N","N","N",
"0500000US48157","Fort Bend County, Texas","722","Food services and drinking places","001","All establishments","001","All establishments","2023","1522","651243","G","157498","G","29336","G",
"0500000US48157","Fort Bend County, Texas","722","Food services and drinking places","001","All establishments","210","Establishments with less than 5 employees","2023","443","N","N","N","N","N","N",
"0500000US48157","Fort Bend County, Texas","722","Food services and drinking places","001","All establishments","220","Establishments with 5 to 9 employees","2023","266","N","N","N","N","N","N",
