name,address,addr:city,addr:postcode,cuisine,lat,lon,county
Hartz Chicken,,,,chicken,29.7654156,-96.152773,Austin
Subway,Northeast I-10 Frontage Road,Sealy,77474,sandwich,29.777136,-96.107493,Austin
China Buffet,,,,chinese,29.7697735,-96.1543322,Austin
Sonic,South Front Street,Bellville,77418,burger,29.9403805,-96.2518896,Austin
,,,,chinese,29.9496621,-96.2558814,Austin
,,,,donut,29.9493955,-96.2560023,Austin
,,,,,29.9500567,-96.256847,Austin
Burger King,,,,burger,29.7639114,-96.151909,Austin
Subway,FM 3538,,,sandwich,29.7643718,-96.1854794,Austin
Wendy's,Beckendorff Road,Sealy,77474,burger,29.7511904,-96.2666773,Austin
River Hills Seafood Steak & Bat,,,,seafood,29.7641129,-96.1854923,Austin
Taco Corner,,,,mexican,30.0233034,-96.1410589,Austin
Chicken Express,,,,chicken,29.7613652,-96.1508413,Austin
TJ Filipino-Vietnamese Cuisine,County Road 94,Pearland,77584,international,29.578925,-95.3830661,Brazoria
Donut Shop,,,,coffee_shop,29.0978977,-95.6889654,Brazoria
Bulldog Cafe,,,,american,29.0418709,-95.7041895,Brazoria
Taco Loco,,,,mexican,29.0413178,-95.7013195,Brazoria
Sonic,North Main Street,Sweeny,77480,burger,29.0417821,-95.705418,Brazoria
Simple Simons,,,,italian,29.0409088,-95.7015583,Brazoria
Domino's,North Main Street,Sweeny,77480,pizza,29.0412521,-95.7033687,Brazoria
Subway,North Main Street,Sweeny,77480,sandwich,29.0439345,-95.7072901,Brazoria
DairyMart,,,,american,29.0412697,-95.7028564,Brazoria
Lucy's Restaurant,,,,mexican,29.1343382,-95.6507116,Brazoria
Chinese Buffet,,,,chinese,29.1494628,-95.6588602,Brazoria
Baytown Seafood,,,,american,29.1377308,-95.6544989,Brazoria
Subway,,,,sandwich,29.1471763,-95.6570925,Brazoria
Drini Pizza,West Brazos Avenue,West Columbia,77486,pizza,29.1472421,-95.6571114,Brazoria
Talk About Good,North Brazosport Boulevard,Freeport,77541,cajun,28.9811934,-95.3767416,Brazoria
