Area/City,County,ZIP,"Zone (lat, lon)",Restaurants,Nearest 5GG Facility,Distance (miles),Within 10mi,Within 20mi,Gap Assessment,Sample Restaurants
Lake Jackson,Brazoria,77566,"(29.04, -95.46)",19,DOWNSTREAM FACILITY,47.2,0,0,UNDERSERVED,"Wursthaus Restaurant, La Casona, The Fill Station"
Galveston,Galveston,77550,"(29.3, -94.8)",13,GENESYST INTERNATIONAL LIQUID WASTE PROC,39.4,0,0,UNDERSERVED,"MOD Coffeehouse, Gumbo Bar, Miller's Seawall Restaurant"
Conroe,Montgomery,77304,"(30.3, -95.47)",24,TAP INC DBA BIG K ENVIRONMENTAL,30.4,0,0,UNDERSERVED,"Chipotle, Freebirds, Jack in the Box"
Magnolia,Montgomery,77354,"(30.22, -95.56)",22,TAP INC DBA BIG K ENVIRONMENTAL,26.7,0,0,UNDERSERVED,"Schlotzsky's, Eden Table, Pizza Hut"
The Woodlands,Montgomery,77380,"(30.18, -95.46)",83,TAP INC DBA BIG K ENVIRONMENTAL,22.2,0,0,UNDERSERVED,"Américas Woodlands, North Italia, Hubbell & Hudson Bistro"
Baytown,Chambers,77523,"(29.82, -94.9)",12,LEY RD RENEWABLE ENERGY FACILITY,21.1,0,0,UNDERSERVED,"Jack in the Box, Subway, DQ Grill & Chill"
Tomball,Harris,77375,"(30.12, -95.56)",16,TAP INC DBA BIG K ENVIRONMENTAL,20.6,0,0,UNDERSERVED,"Macayo's Mexican Restaurant, Church's Chicken, McDonald's"
Tomball,Harris,77377,"(30.08, -95.64)",14,VEXARA PHARMACEUTICALS,19.8,0,1,UNDERSERVED,"Margaritas & Fajitas Mexican Kitchen, Jack in the Box, Papa "
Seabrook,Harris,77586,"(29.54, -95.02)",12,GENESYST INTERNATIONAL LIQUID WASTE PROC,18.4,0,1,UNDERSERVED,"T-Bone Tom's, Wingstop, Starbucks"
Spring,Harris,77389,"(30.08, -95.52)",37,TAP INC DBA BIG K ENVIRONMENTAL,17,0,2,UNDERSERVED,"Schlotzsky's, Wingstop, Dripped Birria"
Katy,Fort Bend County,77494,"(29.7, -95.85)",29,DOWNSTREAM FACILITY,16.8,0,1,UNDERSERVED,"Daily Donuts, Little V Vietnamese Bistro, Chuckwagon BBQ & B"
Rosenberg,Fort Bend County,77469,"(29.54, -95.76)",10,DOWNSTREAM FACILITY,16.7,0,1,UNDERSERVED,"Shipley Donuts, DQ Grill & Chill, Papa Mex"
Baytown,Harris,77521,"(29.78, -94.98)",10,WASTEWATER RESIDUALS MANAGEMENT,16.5,0,4,UNDERSERVED,"McDonald's, Sonic, Red Lobster"
Spring,Harris,77388,"(30.07, -95.45)",26,TAP INC DBA BIG K ENVIRONMENTAL,14.7,0,4,MODERATE GAP,"Taco Cabana, Quiznos, Charley's Philly Steaks"
Katy,Harris,77449,"(29.79, -95.79)",72,DOWNSTREAM FACILITY,14.4,0,2,MODERATE GAP,"Pizza Bella, Cicis, Ferso's Tacos & More"
League City / Clear Lake,Harris,77058,"(29.55, -95.12)",78,GENESYST INTERNATIONAL LIQUID WASTE PROC,13.9,0,3,MODERATE GAP,"Enlighten Coffee Roasters, Little Caesars, Burger King"
Cypress,Harris,77433,"(29.88, -95.72)",13,VEXARA PHARMACEUTICALS,13.9,0,3,MODERATE GAP,"TD Tofu & Fast Food, Pho Viet Mai, Bún Bò Huế - Đức Chương 5"
Tomball / NW Harris,Harris,77070,"(30.0, -95.6)",28,VEXARA PHARMACEUTICALS,13.8,0,4,MODERATE GAP,"First Watch, Sierra Madre Taco Co., Locatelli's"
Humble,Harris,77346,"(30.02, -95.17)",57,LEY RD RENEWABLE ENERGY FACILITY,13.6,0,5,MODERATE GAP,"Starbucks, Sharky's, Zammitti's"
Webster,Harris,77598,"(29.54, -95.15)",60,GENESYST INTERNATIONAL LIQUID WASTE PROC,13.2,0,3,MODERATE GAP,"Enlighten Coffee Roasters, Texas Roadhouse, Sonic"
Pearland,Brazoria,77584,"(29.56, -95.39)",44,GENESYST INTERNATIONAL LIQUID WASTE PROC,13.1,0,7,MODERATE GAP,"TJ Filipino-Vietnamese Cuisine, Subway, Cracker Barrel"
League City / Clear Lake,Harris,77058,"(29.57, -95.12)",29,GENESYST INTERNATIONAL LIQUID WASTE PROC,12.6,0,4,MODERATE GAP,"Little Caesars, Burger King, McDonald's"
Katy,Harris,77449,"(29.78, -95.75)",106,DOWNSTREAM FACILITY,11.7,0,3,MODERATE GAP,"Chama, Church's Chicken, Sonic"
Humble,Harris,77338,"(30.0, -95.27)",36,TAP INC DBA BIG K ENVIRONMENTAL,11.3,0,7,MODERATE GAP,"Schlotzsky's, Sonic, Honey Baked Ham"
Sugar Land,Fort Bend County,77479,"(29.58, -95.66)",12,DOWNSTREAM FACILITY,10.9,0,3,MODERATE GAP,"Madras Pavillion, McDonald's, Denny's"
Katy / Mason Road,Harris,77095,"(29.89, -95.66)",75,VEXARA PHARMACEUTICALS,10.8,0,5,MODERATE GAP,"Jason's Deli, Fuddruckers, Willi's Icehouse"
Katy / Cinco Ranch,Harris,77095,"(29.88, -95.66)",64,VEXARA PHARMACEUTICALS,10.7,0,5,MODERATE GAP,"Jason's Deli, Fuddruckers, Willi's Icehouse"
Katy / Grand Pkwy West,Harris,77084,"(29.78, -95.72)",62,DOWNSTREAM FACILITY,10,1,3,SLIGHT GAP,"Chama, McDonald's, Subway"
Cypress / Fairfield,Harris,77069,"(29.96, -95.51)",66,VEXARA PHARMACEUTICALS,9.7,1,8,SLIGHT GAP,"Rockfish Grill, Lupe Tortilla, Subway"
Sugar Land,Fort Bend County,77478,"(29.59, -95.6)",93,DOWNSTREAM FACILITY,9.3,1,3,SLIGHT GAP,"Starbucks, Pei Wei, Freebirds"
Deer Park,Harris,77536,"(29.68, -95.12)",11,GENESYST INTERNATIONAL LIQUID WASTE PROC,8.7,1,6,SLIGHT GAP,"Grand Buffet, Subway, Little Caesars"
Cypress South,Harris,77065,"(29.92, -95.58)",40,VEXARA PHARMACEUTICALS,8.3,1,5,SLIGHT GAP,"Popeyes, Smoothie King, Willie's Grill and Ice House"
Champions / FM 1960,Harris,77073,"(29.98, -95.42)",33,TAP INC DBA BIG K ENVIRONMENTAL,8.3,1,7,SLIGHT GAP,"Denny's, Zum Barrel, Laredo Taco Company"
Spring / Kuykendahl,Harris,77032,"(29.98, -95.34)",75,TAP INC DBA BIG K ENVIRONMENTAL,8.2,1,8,SLIGHT GAP,"Panda Express, Re+Bar No.9, Starbucks"
Humble,Harris,77396,"(29.94, -95.26)",14,LEY RD RENEWABLE ENERGY FACILITY,7.7,3,8,SLIGHT GAP,"Iekei Ramen & Sushi Bar, Starbucks, Chili's"
Pasadena,Harris,77505,"(29.64, -95.16)",10,GENESYST INTERNATIONAL LIQUID WASTE PROC,7.6,1,6,SLIGHT GAP,"Panera Bread, Buffalo Wild Wings, Chipotle"
Sheldon / Lake Houston East,Harris,77044,"(29.92, -95.2)",13,LEY RD RENEWABLE ENERGY FACILITY,7.1,2,8,SLIGHT GAP,"Smoothie King, Subway, Starbucks"
Greenspoint / Aldine North,Harris,77086,"(29.91, -95.49)",28,VEXARA PHARMACEUTICALS,6.2,3,9,SLIGHT GAP,"Laredo Taco Company, Church's Chicken, Taco Bell"
Sharpstown / Fondren,Harris,77005,"(29.7, -95.44)",141,SOUTHWASTE HURST FACILITY,5.7,4,9,SLIGHT GAP,"Z Pizza, Subway, The Buffalo Grille"
Westchase / Sharpstown,Harris,77030,"(29.71, -95.41)",119,SOUTHWASTE HURST FACILITY,5.5,5,9,SLIGHT GAP,"Texas Medical Center Commons, Salata, Chipotle"
Jersey Village / NW Houston,Harris,77060,"(29.93, -95.42)",27,TAP INC DBA BIG K ENVIRONMENTAL,5,3,9,SERVED,"Jimmy John's, Spanish Flowers Seafood & Oyster Bar, El Papat"
Energy Corridor West,Harris,77063,"(29.75, -95.51)",96,DOWNSTREAM FACILITY,3.8,3,9,SERVED,"Fountain View Cafe, Pizza Hut, Starbucks"
Memorial / Spring Branch,Harris,77056,"(29.75, -95.47)",210,SOUTHWASTE HURST FACILITY,3.8,4,9,SERVED,"Pete's Fine Meats and Deli, Shipley's Donuts, Starbucks"
East Houston / Harrisburg,Harris,77087,"(29.71, -95.32)",30,GENESYST INTERNATIONAL LIQUID WASTE PROC,3.5,6,9,SERVED,"Schlotzsky's, Jack in the Box, Shipley's Donuts"
Downtown / Midtown,Harris,77002,"(29.76, -95.38)",280,SOUTHWASTE HURST FACILITY,3.4,8,9,SERVED,"Hard Rock Cafe, The Rice Box, Birraporetti's"
Greenspoint / IAH Area,Harris,77039,"(29.9, -95.34)",10,TAP INC DBA BIG K ENVIRONMENTAL,3.3,6,9,SERVED,"Little Caesars, El Regio Pollos Asados, Subway"
Barker Cypress / Far West,Harris,77077,"(29.75, -95.6)",70,DOWNSTREAM FACILITY,3,2,5,SERVED,"Burger Guys, Citiline Deli, BB's Tex-Orleans Cooking"
Eldridge / West Houston,Harris,77024,"(29.76, -95.57)",127,DOWNSTREAM FACILITY,2.8,3,9,SERVED,"Empire Turkish Grill, Starbucks, Jason's Deli"
Galleria / Uptown,Harris,77007,"(29.75, -95.42)",352,SOUTHWASTE HURST FACILITY,2.5,7,9,SERVED,"The Rice Box, Backstreet Cafe, Cafe Express"
Near Northside / Lindale,Harris,77007,"(29.81, -95.38)",89,SCHALKER ST GREASE TRAP WASTE PROCESSING,2.4,7,9,SERVED,"Shokku Ramen, Tacos A Go Go, Christian’s Tailgate"
Chinatown / Bellaire,Harris,77036,"(29.71, -95.53)",168,DOWNSTREAM FACILITY,2.3,3,9,SERVED,"Pizza Hut, Chipotle, Sonic"
Spring Branch North,Harris,77092,"(29.79, -95.46)",65,SOUTHWASTE HURST FACILITY,2.1,5,9,SERVED,"Demeris Barbeque, El Hidalguense, Becks Prime"
Chinatown / Sharpstown South,Harris,77036,"(29.7, -95.57)",151,DOWNSTREAM FACILITY,1.1,2,7,SERVED,"Taco Cabana, Spicy Tu Jiazu, Ocean Palace"
Garden Oaks / Oak Forest,Harris,77007,"(29.79, -95.42)",226,SOUTHWASTE HURST FACILITY,0.7,6,9,SERVED,"Starbucks, Shokku Ramen, Smoothie King"
